Entity,Year,Child mortality (Gapminder (2013))
Afghanistan,1870,478.53
Afghanistan,1871,478.53
Afghanistan,1872,478.53
Afghanistan,1873,478.53
Afghanistan,1874,478.53
Afghanistan,1875,479.96
Afghanistan,1876,479.96
Afghanistan,1877,479.96
Afghanistan,1878,479.96
Afghanistan,1879,479.96
Afghanistan,1880,479.96
Afghanistan,1881,479.96
Afghanistan,1882,479.96
Afghanistan,1883,479.96
Afghanistan,1884,479.96
Afghanistan,1885,481.39
Afghanistan,1886,481.39
Afghanistan,1887,481.39
Afghanistan,1888,481.39
Afghanistan,1889,481.39
Afghanistan,1890,481.39
Afghanistan,1891,481.39
Afghanistan,1892,481.39
Afghanistan,1893,481.39
Afghanistan,1894,482.81
Afghanistan,1895,482.77
Afghanistan,1896,482.69
Afghanistan,1897,482.57
Afghanistan,1898,482.38
Afghanistan,1899,482.11
Afghanistan,1900,481.77
Afghanistan,1901,481.36
Afghanistan,1902,480.87
Afghanistan,1903,480.3
Afghanistan,1904,481.08
Afghanistan,1905,480.36
Afghanistan,1906,479.57
Afghanistan,1907,478.69
Afghanistan,1908,477.75
Afghanistan,1909,476.74
Afghanistan,1910,475.68
Afghanistan,1911,474.58
Afghanistan,1912,473.45
Afghanistan,1913,472.32
Afghanistan,1914,472.57
Afghanistan,1915,471.43
Afghanistan,1916,470.29
Afghanistan,1917,469.15
Afghanistan,1918,468.01
Afghanistan,1919,466.87
Afghanistan,1920,465.74
Afghanistan,1921,464.6
Afghanistan,1922,463.46
Afghanistan,1923,462.32
Afghanistan,1924,462.57
Afghanistan,1925,461.43
Afghanistan,1926,460.28
Afghanistan,1927,459.14
Afghanistan,1928,458
Afghanistan,1929,456.85
Afghanistan,1930,455.71
Afghanistan,1931,454.57
Afghanistan,1932,453.42
Afghanistan,1933,453.64
Afghanistan,1934,452.5
Afghanistan,1935,451.35
Afghanistan,1936,450.2
Afghanistan,1937,449.06
Afghanistan,1938,447.91
Afghanistan,1939,446.76
Afghanistan,1940,445.62
Afghanistan,1941,444.47
Afghanistan,1942,443.32
Afghanistan,1943,443.5
Afghanistan,1944,442.35
Afghanistan,1945,441.2
Afghanistan,1946,440.05
Afghanistan,1947,438.9
Afghanistan,1948,437.75
Afghanistan,1949,436.6
Afghanistan,1950,435.45
Afghanistan,1951,431.7
Afghanistan,1957,376.1
Afghanistan,1958,370.5
Afghanistan,1959,364.9
Afghanistan,1960,359.5
Afghanistan,1961,353.9
Afghanistan,1962,348.6
Afghanistan,1963,343.9
Afghanistan,1964,338.7
Afghanistan,1965,333.5
Afghanistan,1966,328.6
Afghanistan,1967,323.7
Afghanistan,1968,318.7
Afghanistan,1969,313.7
Afghanistan,1970,309
Afghanistan,1971,304.1
Afghanistan,1972,299
Afghanistan,1973,294
Afghanistan,1974,288.8
Afghanistan,1975,283.6
Afghanistan,1976,278
Afghanistan,1977,272.7
Afghanistan,1978,267
Afghanistan,1979,260.9
Afghanistan,1980,255
Afghanistan,1981,248.7
Afghanistan,1982,242.1
Afghanistan,1983,235.1
Afghanistan,1984,227.5
Afghanistan,1985,219.6
Afghanistan,1986,211.3
Afghanistan,1987,203.3
Afghanistan,1988,195
Afghanistan,1989,186.9
Afghanistan,1990,179.1
Afghanistan,1991,171.5
Afghanistan,1992,164.6
Afghanistan,1993,158.4
Afghanistan,1994,153.3
Afghanistan,1995,149.1
Afghanistan,1996,145.7
Afghanistan,1997,143
Afghanistan,1998,140.6
Afghanistan,1999,138.2
Afghanistan,2000,135.6
Afghanistan,2001,132.7
Afghanistan,2002,129.4
Afghanistan,2003,125.9
Afghanistan,2004,122.4
Afghanistan,2005,119
Afghanistan,2006,115.8
Afghanistan,2007,112.9
Afghanistan,2008,110.2
Afghanistan,2009,107.7
Afghanistan,2010,105.2
Afghanistan,2011,102.6
Afghanistan,2012,100
Afghanistan,2013,97.3
Albania,1800,375.2
Albania,1801,375.2
Albania,1802,375.2
Albania,1803,375.2
Albania,1804,375.2
Albania,1805,375.2
Albania,1806,375.2
Albania,1807,375.2
Albania,1808,375.2
Albania,1809,375.2
Albania,1810,375.2
Albania,1811,375.2
Albania,1812,375.2
Albania,1813,375.2
Albania,1814,375.2
Albania,1815,375.2
Albania,1816,375.2
Albania,1817,375.2
Albania,1818,375.2
Albania,1819,375.2
Albania,1820,375.2
Albania,1821,375.2
Albania,1822,375.2
Albania,1823,375.2
Albania,1824,375.2
Albania,1825,375.2
Albania,1826,375.2
Albania,1827,375.2
Albania,1828,375.2
Albania,1829,375.2
Albania,1830,375.2
Albania,1831,375.2
Albania,1832,375.2
Albania,1833,375.2
Albania,1834,375.2
Albania,1835,375.2
Albania,1836,375.2
Albania,1837,375.2
Albania,1838,375.2
Albania,1839,375.2
Albania,1840,375.2
Albania,1841,375.2
Albania,1842,375.2
Albania,1843,375.2
Albania,1844,375.2
Albania,1845,375.2
Albania,1846,375.2
Albania,1847,375.2
Albania,1848,375.2
Albania,1849,375.2
Albania,1850,375.2
Albania,1851,375.2
Albania,1852,375.2
Albania,1853,375.2
Albania,1854,375.2
Albania,1855,375.2
Albania,1856,375.2
Albania,1857,375.2
Albania,1858,375.2
Albania,1859,375.2
Albania,1860,375.2
Albania,1861,375.2
Albania,1862,375.2
Albania,1863,375.2
Albania,1864,375.2
Albania,1865,375.2
Albania,1866,375.2
Albania,1867,375.2
Albania,1868,375.2
Albania,1869,375.2
Albania,1870,375.2
Albania,1871,375.2
Albania,1872,375.2
Albania,1873,375.2
Albania,1874,375.2
Albania,1875,375.2
Albania,1876,375.2
Albania,1877,375.2
Albania,1878,375.2
Albania,1879,375.2
Albania,1880,375.2
Albania,1881,375.2
Albania,1882,375.2
Albania,1883,375.2
Albania,1884,375.2
Albania,1885,375.2
Albania,1886,375.2
Albania,1887,375.2
Albania,1888,375.2
Albania,1889,375.2
Albania,1890,375.2
Albania,1891,375.2
Albania,1892,375.2
Albania,1893,375.2
Albania,1894,375.19
Albania,1895,375.16
Albania,1896,375.1
Albania,1897,375.01
Albania,1898,374.86
Albania,1899,374.65
Albania,1900,374.39
Albania,1901,374.07
Albania,1902,373.69
Albania,1903,373.24
Albania,1904,372.75
Albania,1905,372.19
Albania,1906,371.57
Albania,1907,370.9
Albania,1908,370.16
Albania,1909,369.38
Albania,1910,368.56
Albania,1911,367.71
Albania,1912,366.84
Albania,1913,365.96
Albania,1914,365.08
Albania,1915,364.2
Albania,1916,363.32
Albania,1917,362.43
Albania,1918,361.55
Albania,1919,360.67
Albania,1920,359.79
Albania,1921,358.91
Albania,1922,358.03
Albania,1923,357.15
Albania,1924,356.27
Albania,1925,355.39
Albania,1926,354.51
Albania,1927,353.63
Albania,1928,352.75
Albania,1929,351.87
Albania,1930,340.97
Albania,1931,330.3
Albania,1932,319.85
Albania,1933,309.61
Albania,1934,299.59
Albania,1935,289.77
Albania,1936,280.14
Albania,1937,270.71
Albania,1938,261.46
Albania,1939,253.31
Albania,1940,244.39
Albania,1941,235.64
Albania,1942,227.07
Albania,1943,218.67
Albania,1944,210.44
Albania,1945,202.37
Albania,1946,194.46
Albania,1947,186.7
Albania,1948,179.09
Albania,1949,171.6
Albania,1950,164.29
Albania,1978,89.5
Albania,1979,83.1
Albania,1980,77.3
Albania,1981,72
Albania,1982,66.9
Albania,1983,62.2
Albania,1984,57.9
Albania,1985,53.9
Albania,1986,50.5
Albania,1987,47.4
Albania,1988,44.7
Albania,1989,42.5
Albania,1990,40.5
Albania,1991,38.8
Albania,1992,37.3
Albania,1993,35.9
Albania,1994,34.5
Albania,1995,33.1
Albania,1996,31.7
Albania,1997,30.3
Albania,1998,28.8
Albania,1999,27.5
Albania,2000,26.1
Albania,2001,24.8
Albania,2002,23.6
Albania,2003,22.5
Albania,2004,21.4
Albania,2005,20.4
Albania,2006,19.5
Albania,2007,18.7
Albania,2008,17.9
Albania,2009,17.2
Albania,2010,16.5
Albania,2011,15.9
Albania,2012,15.4
Albania,2013,14.9
Algeria,1800,460.21
Algeria,1801,460.21
Algeria,1802,460.21
Algeria,1803,460.21
Algeria,1804,460.21
Algeria,1805,460.21
Algeria,1806,460.21
Algeria,1807,460.21
Algeria,1808,460.21
Algeria,1809,460.21
Algeria,1810,460.21
Algeria,1811,460.21
Algeria,1812,460.21
Algeria,1813,460.21
Algeria,1814,460.21
Algeria,1815,460.21
Algeria,1816,460.21
Algeria,1817,460.21
Algeria,1818,460.21
Algeria,1819,460.21
Algeria,1820,460.21
Algeria,1821,460.21
Algeria,1822,460.21
Algeria,1823,460.21
Algeria,1824,460.21
Algeria,1825,460.21
Algeria,1826,460.21
Algeria,1827,460.21
Algeria,1828,460.21
Algeria,1829,460.21
Algeria,1830,460.21
Algeria,1831,460.21
Algeria,1832,460.21
Algeria,1833,460.21
Algeria,1834,460.21
Algeria,1835,460.21
Algeria,1836,460.21
Algeria,1837,460.21
Algeria,1838,460.21
Algeria,1839,460.21
Algeria,1840,460.21
Algeria,1841,460.21
Algeria,1842,460.21
Algeria,1843,460.21
Algeria,1844,460.21
Algeria,1845,460.21
Algeria,1846,460.21
Algeria,1847,460.21
Algeria,1848,460.21
Algeria,1849,460.21
Algeria,1850,460.21
Algeria,1851,460.21
Algeria,1852,460.21
Algeria,1853,460.21
Algeria,1854,460.21
Algeria,1855,460.21
Algeria,1856,460.21
Algeria,1857,460.21
Algeria,1858,460.21
Algeria,1859,460.21
Algeria,1860,460.21
Algeria,1861,460.21
Algeria,1862,460.21
Algeria,1863,460.21
Algeria,1864,460.21
Algeria,1865,460.21
Algeria,1866,460.21
Algeria,1867,460.21
Algeria,1868,460.21
Algeria,1869,460.21
Algeria,1870,460.21
Algeria,1871,460.21
Algeria,1872,460.21
Algeria,1873,460.21
Algeria,1874,460.21
Algeria,1875,460.21
Algeria,1876,460.21
Algeria,1877,460.21
Algeria,1878,460.21
Algeria,1879,460.21
Algeria,1880,460.21
Algeria,1881,460.21
Algeria,1882,460.21
Algeria,1883,460.21
Algeria,1884,460.21
Algeria,1885,460.21
Algeria,1886,460.21
Algeria,1887,460.21
Algeria,1888,460.21
Algeria,1889,460.21
Algeria,1890,460.21
Algeria,1891,460.21
Algeria,1892,460.21
Algeria,1893,460.21
Algeria,1894,460.19
Algeria,1895,460.16
Algeria,1896,460.09
Algeria,1897,459.97
Algeria,1898,459.79
Algeria,1899,459.53
Algeria,1900,459.21
Algeria,1901,458.81
Algeria,1902,458.35
Algeria,1903,457.81
Algeria,1904,457.19
Algeria,1905,456.51
Algeria,1906,455.75
Algeria,1907,454.93
Algeria,1908,454.03
Algeria,1909,453.07
Algeria,1910,452.06
Algeria,1911,451.01
Algeria,1912,449.95
Algeria,1913,448.87
Algeria,1914,447.79
Algeria,1915,446.71
Algeria,1916,445.63
Algeria,1917,444.55
Algeria,1918,443.47
Algeria,1919,442.39
Algeria,1920,441.31
Algeria,1921,440.23
Algeria,1922,439.15
Algeria,1923,438.07
Algeria,1924,433.04
Algeria,1925,429.39
Algeria,1926,425.75
Algeria,1927,420.84
Algeria,1928,417.23
Algeria,1929,412.44
Algeria,1930,408.92
Algeria,1931,405.4
Algeria,1932,400.66
Algeria,1933,397.23
Algeria,1934,392.61
Algeria,1935,388.01
Algeria,1936,382.27
Algeria,1937,377.78
Algeria,1938,373.31
Algeria,1939,368.89
Algeria,1940,364.52
Algeria,1941,360.18
Algeria,1942,359.25
Algeria,1943,358.32
Algeria,1944,357.39
Algeria,1954,248.9
Algeria,1955,248.5
Algeria,1956,248
Algeria,1957,247.2
Algeria,1958,246.8
Algeria,1959,246.5
Algeria,1960,246.6
Algeria,1961,246.8
Algeria,1962,247.2
Algeria,1963,248.1
Algeria,1964,248.8
Algeria,1965,250
Algeria,1966,250.8
Algeria,1967,251
Algeria,1968,250.1
Algeria,1969,248
Algeria,1970,244.7
Algeria,1971,240
Algeria,1972,233.8
Algeria,1973,226.4
Algeria,1974,217.7
Algeria,1975,208.1
Algeria,1976,197.7
Algeria,1977,186.7
Algeria,1978,175
Algeria,1979,162.2
Algeria,1980,148
Algeria,1981,132.4
Algeria,1982,115.5
Algeria,1983,98.6
Algeria,1984,83.5
Algeria,1985,71.3
Algeria,1986,62.1
Algeria,1987,55.7
Algeria,1988,51.4
Algeria,1989,48.8
Algeria,1990,47.1
Algeria,1991,45.9
Algeria,1992,45.1
Algeria,1993,44.3
Algeria,1994,43.5
Algeria,1995,42.7
Algeria,1996,41.9
Algeria,1997,41.2
Algeria,1998,40.7
Algeria,1999,40.2
Algeria,2000,39.6
Algeria,2001,38.8
Algeria,2002,37.8
Algeria,2003,36.5
Algeria,2004,35.1
Algeria,2005,33.6
Algeria,2006,32.1
Algeria,2007,30.7
Algeria,2008,29.5
Algeria,2009,28.4
Algeria,2010,27.4
Algeria,2011,26.6
Algeria,2012,25.8
Algeria,2013,25.2
Andorra,1990,8.5
Andorra,1991,7.9
Andorra,1992,7.4
Andorra,1993,6.9
Andorra,1994,6.5
Andorra,1995,6
Andorra,1996,5.7
Andorra,1997,5.4
Andorra,1998,5.1
Andorra,1999,4.8
Andorra,2000,4.6
Andorra,2001,4.4
Andorra,2002,4.3
Andorra,2003,4.1
Andorra,2004,4
Andorra,2005,3.9
Andorra,2006,3.7
Andorra,2007,3.6
Andorra,2008,3.5
Andorra,2009,3.4
Andorra,2010,3.3
Andorra,2011,3.2
Andorra,2012,3.1
Andorra,2013,3
Angola,1800,485.68
Angola,1801,485.68
Angola,1802,485.68
Angola,1803,485.68
Angola,1804,485.68
Angola,1805,485.68
Angola,1806,485.68
Angola,1807,485.68
Angola,1808,485.68
Angola,1809,485.68
Angola,1810,485.68
Angola,1811,485.68
Angola,1812,485.68
Angola,1813,485.68
Angola,1814,485.68
Angola,1815,485.68
Angola,1816,485.68
Angola,1817,485.68
Angola,1818,485.68
Angola,1819,485.68
Angola,1820,485.68
Angola,1821,485.68
Angola,1822,485.68
Angola,1823,485.68
Angola,1824,485.68
Angola,1825,485.68
Angola,1826,485.68
Angola,1827,485.68
Angola,1828,485.68
Angola,1829,485.68
Angola,1830,485.68
Angola,1831,485.68
Angola,1832,485.68
Angola,1833,485.68
Angola,1834,485.68
Angola,1835,485.68
Angola,1836,485.68
Angola,1837,485.68
Angola,1838,485.68
Angola,1839,485.68
Angola,1840,485.68
Angola,1841,485.68
Angola,1842,485.68
Angola,1843,485.68
Angola,1844,485.68
Angola,1845,485.68
Angola,1846,485.68
Angola,1847,485.68
Angola,1848,485.68
Angola,1849,485.68
Angola,1850,485.68
Angola,1851,485.68
Angola,1852,485.68
Angola,1853,485.68
Angola,1854,485.68
Angola,1855,485.68
Angola,1856,485.68
Angola,1857,485.68
Angola,1858,485.68
Angola,1859,485.68
Angola,1860,485.68
Angola,1861,485.68
Angola,1862,485.68
Angola,1863,485.68
Angola,1864,485.68
Angola,1865,485.68
Angola,1866,485.68
Angola,1867,485.68
Angola,1868,485.68
Angola,1869,485.68
Angola,1870,485.68
Angola,1871,485.68
Angola,1872,485.68
Angola,1873,485.68
Angola,1874,485.68
Angola,1875,485.68
Angola,1876,485.68
Angola,1877,485.68
Angola,1878,485.68
Angola,1879,485.68
Angola,1880,485.68
Angola,1881,485.68
Angola,1882,485.68
Angola,1883,485.68
Angola,1884,485.68
Angola,1885,485.68
Angola,1886,485.68
Angola,1887,485.68
Angola,1888,485.68
Angola,1889,485.68
Angola,1890,485.68
Angola,1891,485.68
Angola,1892,485.68
Angola,1893,485.68
Angola,1894,485.67
Angola,1895,485.63
Angola,1896,485.55
Angola,1897,485.43
Angola,1898,485.24
Angola,1899,484.97
Angola,1900,484.63
Angola,1901,484.21
Angola,1902,483.72
Angola,1903,483.15
Angola,1904,482.5
Angola,1905,481.78
Angola,1906,480.98
Angola,1907,480.11
Angola,1908,479.16
Angola,1909,478.15
Angola,1910,477.08
Angola,1911,475.98
Angola,1912,474.85
Angola,1913,473.71
Angola,1914,472.57
Angola,1915,471.43
Angola,1916,470.29
Angola,1917,469.15
Angola,1918,468.01
Angola,1919,466.87
Angola,1920,465.74
Angola,1921,464.6
Angola,1922,463.46
Angola,1923,462.32
Angola,1924,461.18
Angola,1925,460.04
Angola,1926,458.9
Angola,1927,457.76
Angola,1928,456.62
Angola,1929,455.48
Angola,1930,454.34
Angola,1931,453.2
Angola,1932,452.06
Angola,1933,450.92
Angola,1934,449.78
Angola,1935,448.64
Angola,1936,447.5
Angola,1937,446.36
Angola,1938,445.22
Angola,1939,444.08
Angola,1940,442.94
Angola,1941,439.2
Angola,1942,435.47
Angola,1943,431.76
Angola,1944,426.76
Angola,1945,423.11
Angola,1946,419.5
Angola,1947,415.9
Angola,1948,411.07
Angola,1949,407.5
Angola,1950,404.01
Angola,1951,400.53
Angola,1952,394.65
Angola,1953,388.34
Angola,1954,381.62
Angola,1955,374.45
Angola,1956,366.97
Angola,1957,359.07
Angola,1958,350.82
Angola,1959,342.71
Angola,1960,334.67
Angola,1961,326.79
Angola,1962,318.97
Angola,1963,311.23
Angola,1964,303.55
Angola,1965,295.88
Angola,1966,288.29
Angola,1967,280.69
Angola,1968,273.55
Angola,1969,266.84
Angola,1970,260.52
Angola,1980,232
Angola,1981,231.1
Angola,1982,230.2
Angola,1983,229.1
Angola,1984,228.3
Angola,1985,227.6
Angola,1986,227
Angola,1987,226.6
Angola,1988,226.2
Angola,1989,226
Angola,1990,225.9
Angola,1991,225.8
Angola,1992,225.9
Angola,1993,225.5
Angola,1994,225.2
Angola,1995,224.7
Angola,1996,223.8
Angola,1997,222.4
Angola,1998,220.8
Angola,1999,218.9
Angola,2000,216.7
Angola,2001,214.5
Angola,2002,212.1
Angola,2003,209.8
Angola,2004,207.1
Angola,2005,204.5
Angola,2006,200.9
Angola,2007,196.8
Angola,2008,192.3
Angola,2009,187.7
Angola,2010,182.4
Angola,2011,177.5
Angola,2012,172.6
Angola,2013,167.4
Antigua and Barbuda,1800,473.6
Antigua and Barbuda,1950,140.12
Antigua and Barbuda,1951,137.63
Antigua and Barbuda,1952,133.77
Antigua and Barbuda,1953,129.8
Antigua and Barbuda,1954,125.73
Antigua and Barbuda,1955,121.56
Antigua and Barbuda,1956,117.97
Antigua and Barbuda,1957,113.65
Antigua and Barbuda,1958,109.27
Antigua and Barbuda,1959,105
Antigua and Barbuda,1960,101.42
Antigua and Barbuda,1961,97.33
Antigua and Barbuda,1962,93.88
Antigua and Barbuda,1963,90.52
Antigua and Barbuda,1964,87.2
Antigua and Barbuda,1965,84.46
Antigua and Barbuda,1966,81.24
Antigua and Barbuda,1967,78.05
Antigua and Barbuda,1968,75.54
Antigua and Barbuda,1969,72.68
Antigua and Barbuda,1970,70.43
Antigua and Barbuda,1971,68.32
Antigua and Barbuda,1972,65.87
Antigua and Barbuda,1973,63.99
Antigua and Barbuda,1974,62.14
Antigua and Barbuda,1975,60.31
Antigua and Barbuda,1976,58.48
Antigua and Barbuda,1977,56.67
Antigua and Barbuda,1978,55.31
Antigua and Barbuda,1979,53.55
Antigua and Barbuda,1980,51.8
Antigua and Barbuda,1990,25.5
Antigua and Barbuda,1991,24.2
Antigua and Barbuda,1992,23
Antigua and Barbuda,1993,21.9
Antigua and Barbuda,1994,20.8
Antigua and Barbuda,1995,19.8
Antigua and Barbuda,1996,18.8
Antigua and Barbuda,1997,17.9
Antigua and Barbuda,1998,17
Antigua and Barbuda,1999,16.2
Antigua and Barbuda,2000,15.4
Antigua and Barbuda,2001,14.7
Antigua and Barbuda,2002,14.1
Antigua and Barbuda,2003,13.5
Antigua and Barbuda,2004,12.9
Antigua and Barbuda,2005,12.4
Antigua and Barbuda,2006,11.9
Antigua and Barbuda,2007,11.4
Antigua and Barbuda,2008,11
Antigua and Barbuda,2009,10.6
Antigua and Barbuda,2010,10.3
Antigua and Barbuda,2011,9.9
Antigua and Barbuda,2012,9.6
Antigua and Barbuda,2013,9.3
Argentina,1800,402.19
Argentina,1801,402.19
Argentina,1802,402.19
Argentina,1803,402.19
Argentina,1804,402.19
Argentina,1805,402.19
Argentina,1806,402.19
Argentina,1807,402.19
Argentina,1808,402.19
Argentina,1809,402.19
Argentina,1810,402.19
Argentina,1811,402.19
Argentina,1812,402.19
Argentina,1813,402.19
Argentina,1814,402.19
Argentina,1815,402.19
Argentina,1816,402.19
Argentina,1817,402.19
Argentina,1818,402.19
Argentina,1819,402.19
Argentina,1820,402.19
Argentina,1821,402.19
Argentina,1822,402.19
Argentina,1823,402.19
Argentina,1824,402.19
Argentina,1825,402.19
Argentina,1826,402.19
Argentina,1827,402.19
Argentina,1828,402.19
Argentina,1829,402.19
Argentina,1830,402.19
Argentina,1831,402.19
Argentina,1832,402.19
Argentina,1833,402.19
Argentina,1834,402.19
Argentina,1835,402.19
Argentina,1836,402.19
Argentina,1837,402.19
Argentina,1838,402.19
Argentina,1839,402.19
Argentina,1840,402.19
Argentina,1841,402.19
Argentina,1842,402.19
Argentina,1843,402.19
Argentina,1844,402.19
Argentina,1845,402.19
Argentina,1846,402.19
Argentina,1847,402.19
Argentina,1848,402.19
Argentina,1849,402.19
Argentina,1850,402.19
Argentina,1851,402.19
Argentina,1852,402.19
Argentina,1853,402.19
Argentina,1854,402.19
Argentina,1855,402.19
Argentina,1856,402.19
Argentina,1857,402.19
Argentina,1858,402.19
Argentina,1859,402.19
Argentina,1860,402.19
Argentina,1861,402.19
Argentina,1862,402.19
Argentina,1863,402.19
Argentina,1864,402.19
Argentina,1865,402.19
Argentina,1866,402.19
Argentina,1867,402.19
Argentina,1868,402.19
Argentina,1869,402.19
Argentina,1870,402.19
Argentina,1871,402.19
Argentina,1872,402.19
Argentina,1873,402.19
Argentina,1874,402.19
Argentina,1875,402.19
Argentina,1876,402.19
Argentina,1877,402.19
Argentina,1878,403.44
Argentina,1879,403.44
Argentina,1880,403.44
Argentina,1881,404.69
Argentina,1882,405.96
Argentina,1883,407.24
Argentina,1884,408.51
Argentina,1885,409.79
Argentina,1886,405.96
Argentina,1887,402.19
Argentina,1888,399.7
Argentina,1889,395.95
Argentina,1890,392.21
Argentina,1891,393.46
Argentina,1892,395.95
Argentina,1893,397.2
Argentina,1894,399.69
Argentina,1895,400.9
Argentina,1896,392.11
Argentina,1897,383.46
Argentina,1898,374.86
Argentina,1899,366.3
Argentina,1900,357.85
Argentina,1901,350.61
Argentina,1911,238.82
Argentina,1912,229.61
Argentina,1913,205.35
Argentina,1914,195.97
Argentina,1915,194.09
Argentina,1916,194.09
Argentina,1917,201.61
Argentina,1918,220.33
Argentina,1919,212.85
Argentina,1920,199.73
Argentina,1921,179.05
Argentina,1922,171.55
Argentina,1923,171.55
Argentina,1924,179.05
Argentina,1925,188.45
Argentina,1926,184.69
Argentina,1927,197.85
Argentina,1928,173.43
Argentina,1929,162.22
Argentina,1930,149.27
Argentina,1931,149.27
Argentina,1932,140.16
Argentina,1933,125.89
Argentina,1934,143.79
Argentina,1935,160.37
Argentina,1936,143.79
Argentina,1937,140.16
Argentina,1938,154.8
Argentina,1939,131.19
Argentina,1940,131.19
Argentina,1941,122.37
Argentina,1942,124.13
Argentina,1943,113.71
Argentina,1944,115.43
Argentina,1945,117.16
Argentina,1946,103.53
Argentina,1947,110.29
Argentina,1948,95.24
Argentina,1949,91.99
Argentina,1950,93.6
Argentina,1951,91.99
Argentina,1952,88.79
Argentina,1953,85.73
Argentina,1954,81.22
Argentina,1955,84.24
Argentina,1956,76.57
Argentina,1957,93.6
Argentina,1958,82.73
Argentina,1964,57.5
Argentina,1965,57.5
Argentina,1966,58.7
Argentina,1967,58.6
Argentina,1968,58.4
Argentina,1969,73.3
Argentina,1970,72.5
Argentina,1971,71.5
Argentina,1972,70.3
Argentina,1973,68.6
Argentina,1974,66.4
Argentina,1975,63.6
Argentina,1976,60
Argentina,1977,55.8
Argentina,1978,51.3
Argentina,1979,47
Argentina,1980,43.2
Argentina,1981,40
Argentina,1982,37.7
Argentina,1983,35.8
Argentina,1984,34.4
Argentina,1985,33.1
Argentina,1986,31.9
Argentina,1987,30.8
Argentina,1988,29.7
Argentina,1989,28.6
Argentina,1990,27.6
Argentina,1991,26.6
Argentina,1992,25.7
Argentina,1993,24.9
Argentina,1994,24.1
Argentina,1995,23.4
Argentina,1996,22.7
Argentina,1997,22
Argentina,1998,21.4
Argentina,1999,20.8
Argentina,2000,20.2
Argentina,2001,19.7
Argentina,2002,19.2
Argentina,2003,18.6
Argentina,2004,17.9
Argentina,2005,17.1
Argentina,2006,16.4
Argentina,2007,15.8
Argentina,2008,15.4
Argentina,2009,15
Argentina,2010,14.6
Argentina,2011,14.2
Argentina,2012,13.7
Argentina,2013,13.3
Armenia,1800,371.2
Armenia,1900,325.69
Armenia,1930,227.5
Armenia,1950,109.6
Armenia,1951,108.04
Armenia,1952,105.22
Armenia,1953,102.27
Armenia,1954,99.28
Armenia,1955,95.57
Armenia,1956,92.43
Armenia,1957,89.22
Armenia,1958,85.95
Armenia,1959,82.78
Armenia,1960,79.1
Armenia,1961,76.08
Armenia,1962,73.11
Armenia,1963,69.69
Armenia,1964,66.85
Armenia,1965,63.58
Armenia,1966,60.86
Armenia,1976,87.8
Armenia,1977,84.2
Armenia,1978,80.9
Armenia,1979,77.7
Armenia,1980,74.7
Armenia,1981,71.8
Armenia,1982,69
Armenia,1983,66.3
Armenia,1984,63.8
Armenia,1985,61.3
Armenia,1986,58.9
Armenia,1987,56.6
Armenia,1988,81.6
Armenia,1989,52
Armenia,1990,49.7
Armenia,1991,47.4
Armenia,1992,45.1
Armenia,1993,42.8
Armenia,1994,40.7
Armenia,1995,38.6
Armenia,1996,36.7
Armenia,1997,34.9
Armenia,1998,33.3
Armenia,1999,31.7
Armenia,2000,30.1
Armenia,2001,28.6
Armenia,2002,27.2
Armenia,2003,25.9
Armenia,2004,24.6
Armenia,2005,23.4
Armenia,2006,22.2
Armenia,2007,21.1
